OBJECTID,CSA2010,novhcl11,novhcl12,novhcl13,novhcl14,novhcl15,novhcl16,novhcl17,novhcl18,novhcl19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,29.6296296296296,31.0010214504597,28.7782181630191,30.2832,30.3735969174066,30.3723056825604,29.6514482081492,33.0039525691699,32.02451955,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,18.2756643089275,16.0402944595118,18.8408644400786,19.1605,21.1468851209754,19.4192713149621,18.5157280090412,20.0493171471927,15.28902278,47882527.7110596,37524.9505334171
3,Belair-Edison,24.2683552969365,27.1552457065125,27.7409484956655,29.3215,29.0835306053433,32.0945945945946,34.6457990115321,34.0849673202614,29.93503248,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,34.1706456300602,33.8179645488946,33.3333333333333,30.8687,32.122905027933,30.1745635910224,33.1310406832996,31.469172587669,34.61622567,176077742.748718,150987.703638772
5,Canton,11.3223371540397,11.0132158590308,10.1217861975643,10.0718,9.09550277918141,6.35751682872102,4.50290918289906,4.68305304010349,4.754521964,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,21.634767896796,25.1747499731154,27.2059606173497,25.8595,24.6458923512748,24.3729141995909,22.7124183006535,21.4098073555166,21.82410423,71541340.3063965,39962.5498347165
7,Cherry Hill,55.5253623188406,51.018573996405,52.5258673158856,51.8199,50.6078055022393,51.4052287581699,52.0826391202932,52.6280991735537,53.94519643,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,19.5008705745792,21.8293395675044,24.5349867139061,24.843,20.4918032786885,19.1365227537923,16.3510670273519,13.3007931665649,14.31572629,21022590.1307373,21705.411630344
9,Claremont/Armistead,25.767053917188,26.1112746541066,27.8565229968181,27.8353,30.2523474178404,27.4034395263603,26.2243735763097,27.0419426048565,26.66666667,61243774.4211426,40104.415980189
10,Clifton-Berea,48.3805077327108,49.2685781158572,47.0535177390259,44.2224,43.3522369250158,46.1995620894589,44.7975077881619,48.6129032258064,44.45525292,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,12.2335317841367,11.5277000559597,11.3564668769716,11.8204,11.5867158671587,9.77130977130977,12.4094931617055,15.014605647517,15.68821896,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,37.0597243491577,40.1686874011597,39.91462113127,38.7417,32.3803967327888,31.4903846153846,29.5977011494252,34.0764331210191,29.93197279,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,23.6460013828071,23.8526037069726,24.5864997764864,28.5714,28.9212289212289,29.4690470670067,28.7158984007525,30.4959630911188,27.38095238,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,37.8363069951855,35.4131534569983,38.1217004723534,37.6078,40.0936494000585,39.8905529953917,38.9628790025503,39.1733333333333,37.17463322,20736554.4064941,21565.859394559
15,Edmondson Village,25.1028806584362,25.3173483779972,28.8020086083214,30.6626,27.4342330030748,26.8058883943855,25.9415698697641,24.4014084507042,23.05274188,23563061.0443115,21504.551357829
16,Fells Point,17.7282133823868,16.0428977894506,13.4703695604636,12.8468,13.8512035010941,11.9496855345912,13.4538152610441,13.6,13.99954985,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,27.9700913874273,28.7883047511948,32.5435341136169,30.5579,29.2291220556745,29.3514483465778,27.3713420787083,26.126999515269,29.57884427,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,28.3781658014787,28.6143625434989,27.3334345120656,26.1188,24.9465974977113,25.9293536942773,26.3708795500703,27.1147913622341,29.41838046,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,42.1574803149606,43.5936315390447,45.3957267529341,42.1646,42.0189559199639,39.9114774114774,38.5852592129918,35.2413901556848,35.0513834,27051213.4559937,26454.2692113332
20,Greater Govans,32.4465558194774,32.7833572453372,32.1911421911422,29.4061,31.5737298636927,29.9629171817058,28.4396809571286,29.1110551498363,33.28228688,22698495.7178955,22982.125714974
21,Greater Mondawmin,34.8916408668731,33.6070751737208,33.1547431452884,33.4092,36.1749680715198,36.3945578231293,35.5254877281309,36.8275438057178,37.0846395,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,4.22098075729361,3.01582561958794,4.06749020789394,4.36321,5.11124473842453,5.51869722557298,6.57026092423766,6.55161393416427,6.911857958,56688145.1790161,39862.7497953118
23,Greater Rosemont,44.7320989677208,42.8688390371705,43.8332468431067,41.2776,39.8063200815494,38.1536909366067,37.7792938768548,37.0096352374397,40.90582315,42204384.5406494,32559.0762211491
24,Greenmount East,55.6395922393949,55.2468126838836,55.9539918809202,57.8259,57.2792362768496,54.4860776899278,53.7826685006877,53.4351145038167,51.82841069,19072287.8240967,20797.4734578598
25,Hamilton,13.011811023622,14.3203883495146,12.7412367073651,13.7415,11.9253702635122,13.0943102104443,10.8956960062039,11.389884508164,10.83299138,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,45,44.908493664946,44.3825441039926,42.7273,45.236013986014,37.2778500216732,36.0538116591928,40.3611738148984,40.44016506,10215859.0836182,18552.4075815937
